Link ID,Body size reference,Body size methodology,mass.units,length.units,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
1164,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Morethia taeniopleura,adults,North-eastern Firetail Skink ,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,2166.368162,NA
1165,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Balta sp.,adults,Cockroach,invertebrate,NA,0.015,NA,NA,NA,NA,18983.28191,NA
1166,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Amorphoscelidae,adults,Preying Mantids,invertebrate,NA,0.025,NA,NA,NA,NA,4978.833158,NA
1167,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Phasmatodea,adults,Stick insect,invertebrate,NA,0.12,NA,NA,NA,NA,81.71006035,NA
1168,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Teleogryllus sp.,adults,Black field Cricket,invertebrate,NA,0.03,NA,NA,NA,NA,3087.967412,NA
1169,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Gryllotalpa sp.,adults,Mole cricket,invertebrate,NA,0.035,NA,NA,NA,NA,2061.921465,NA
1170,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Nunkeria sp.,adults,Cricket,invertebrate,NA,0.03,NA,NA,NA,NA,3087.967412,NA
1171,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Urnisiella sp.,adults,Sand grasshopper,invertebrate,NA,0.028,NA,NA,NA,NA,3699.783862,NA
1172,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Cicadidae,adults,Cicada,invertebrate,NA,0.03,NA,NA,NA,NA,3087.967412,NA
1173,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Formicidae,adults,Ants,invertebrate,NA,0.012,NA,NA,NA,NA,34062.42248,NA
1174,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Carabidae,adults,Ground Beetle,invertebrate,NA,0.017,NA,NA,NA,NA,13675.84664,NA
1175,"Dell, unpublished",published account,g,m,Centrops phasianus,adults,Pheasant Coucal,endotherm vertebrate,predacious,0.6,0.7,0.8,NA,NA,NA,Lycosa spp.,adults,Wolf spider,invertebrate,NA,0.02,NA,NA,NA,NA,8933.709108,NA
1176,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Carlia jarnoldae,adults,Lined Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,12.06670305,NA
1177,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Carlia munda,adults,Shaded-litter Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,12.06670305,NA
1178,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Carlia pectoralis,adults,Open-litter Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,6.205785877,NA
1179,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Carlia schmeltzii,adults,Robust Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,6.205785877,NA
1180,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Cryptoblepharus plagiocephalus,adults,Callose-palmed Shinning-skink,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,8.494818586,NA
1181,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Cryptoblepharus virgatus,adults,Cream-striped Shinning-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,12.06670305,NA
1182,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Ctenotus taeniolatus,adults,Copper-tailed Skink ,ectotherm vertebrate,NA,0.08,NA,NA,NA,NA,1.529393494,NA
1183,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Morethia taeniopleura,adults,North-eastern Firetail Skink ,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,17.9640654,NA
1184,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Cyclorana brevipes,adults,Superb Collared-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,2.943054547,NA
1185,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Cyclorana novaehollandiae,adults,Eastern Snapping-frog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,0.221414907,NA
1186,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria alboguttata,adults,Greenstripe Frog,ectotherm vertebrate,NA,0.065,NA,NA,NA,NA,0.894061885,NA
1187,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria caerulea,adults,Green Treefrog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,0.221414907,NA
1188,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria gracilenta,adults,Gracefull Treefrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,2.943054547,NA
1189,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria inermis,adults,Bumpy Rocketfrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,6.643950565,NA
1190,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria lesueuri,adults,Stony-creek frog,ectotherm vertebrate,NA,0.07,NA,NA,NA,NA,0.70321675,NA
1191,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria nasuta,adults,Striped Rocketfrog,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,2.091915039,NA
1192,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria rothi,adults,Red-eyed Treefrog,ectotherm vertebrate,NA,0.055,NA,NA,NA,NA,1.536143339,NA
1193,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Litoria rubella,adults,Naked Treefrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,6.643950565,NA
1194,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Limnodynastes ornatus,adults,Ornate Burrowing-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,2.943054547,NA
1195,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,0.32,NA,NA,NA,NA,Limnodynastes tasmaniensis,adults,Spotted Marshfrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,2.943054547,NA
1196,"Dell, unpublished",published account,g,m,Morelia spilota,juveniles,Carpet Python,ectotherm vertebrate,predacious,NA,1.5,NA,NA,NA,NA,Trichosurus vulpecula,juveniles,Common Brushtail Possum,endotherm vertebrate,NA,0.35,NA,NA,NA,NA,1.871089242,NA
1197,"Dell, unpublished",published account,g,m,Morelia spilota,adults,Carpet Python,ectotherm vertebrate,predacious,2,3,4,NA,NA,NA,Trichosurus vulpecula,adults,Common Brushtail Possum,endotherm vertebrate,0.35,0.45,0.55,1500,NA,4500,7.642592206,NA
1198,"Dell, unpublished",published account,g,m,Morelia spilota,adults,Carpet Python,ectotherm vertebrate,predacious,2,3,4,NA,NA,NA,Isoodon macrourus,adults,Northern Brown Bandicoot,endotherm vertebrate,0.3,0.385,0.47,500,NA,3100,11.70046328,NA
1199,"Dell, unpublished",published account,g,m,Morelia spilota,adults,Carpet Python,ectotherm vertebrate,predacious,2,3,4,NA,NA,NA,Macropus agilis,juveniles,Agile Wallaby,endotherm vertebrate,0.593,0.6465,0.7,NA,NA,NA,2.842227027,mean length resource assumed to be equal to (maximum + minimum length) / 2
1200,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Carlia jarnoldae,adults,Lined Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,46.44351744,NA
1201,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Carlia munda,adults,Shaded-litter Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,46.44351744,NA
1202,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Carlia pectoralis,adults,Open-litter Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,23.88544106,NA
1203,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Carlia schmeltzii,adults,Robust Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,23.88544106,NA
1204,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Cryptoblepharus plagiocephalus,adults,Callose-palmed Shinning-skink,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,32.69569603,NA
1205,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Cryptoblepharus virgatus,adults,Cream-striped Shinning-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,46.44351744,NA
1206,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Ctenotus taeniolatus,adults,Copper-tailed Skink ,ectotherm vertebrate,NA,0.08,NA,NA,NA,NA,5.886480599,NA
1207,"Dell, unpublished",published account,g,m,Demansia torquata,adults,Collared Whip Snake,ectotherm vertebrate,predacious,NA,0.5,NA,NA,NA,NA,Morethia taeniopleura,adults,North-eastern Firetail Skink ,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,69.14186758,NA
1208,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Carlia jarnoldae,adults,Lined Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,128.3015112,NA
1209,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Carlia munda,adults,Shaded-litter Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,128.3015112,NA
1210,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Carlia pectoralis,adults,Open-litter Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,65.98419656,NA
1211,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Carlia schmeltzii,adults,Robust Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,65.98419656,NA
1212,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Cryptoblepharus plagiocephalus,adults,Callose-palmed Shinning-skink,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,90.32277144,NA
1213,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Cryptoblepharus virgatus,adults,Cream-striped Shinning-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,128.3015112,NA
1214,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Ctenotus taeniolatus,adults,Copper-tailed Skink ,ectotherm vertebrate,NA,0.08,NA,NA,NA,NA,16.2615667,NA
1215,"Dell, unpublished",published account,g,m,Furina ornata,adults,Orange-Naped Snake,ectotherm vertebrate,predacious,NA,0.7,NA,NA,NA,NA,Morethia taeniopleura,adults,North-eastern Firetail Skink ,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,191.006336,NA
1216,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Cyclorana brevipes,adults,Superb Collared-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,11.32751876,NA
1217,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Cyclorana novaehollandiae,adults,Eastern Snapping-frog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,0.852203541,NA
1218,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria alboguttata,adults,Greenstripe Frog,ectotherm vertebrate,NA,0.065,NA,NA,NA,NA,3.441153607,NA
1219,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria caerulea,adults,Green Treefrog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,0.852203541,NA
1220,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria fallax,adults,Eastern Sedgefrog ,ectotherm vertebrate,NA,0.025,NA,NA,NA,NA,76.07075148,NA
1221,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria gracilenta,adults,Gracefull Treefrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,11.32751876,NA
1222,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria inermis,adults,Bumpy Rocketfrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,25.57189255,NA
1223,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria lesueuri,adults,Stony-creek frog,ectotherm vertebrate,NA,0.07,NA,NA,NA,NA,2.706610018,NA
1224,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria nasuta,adults,Striped Rocketfrog,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,8.051569028,NA
1225,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria rothi,adults,Red-eyed Treefrog,ectotherm vertebrate,NA,0.055,NA,NA,NA,NA,5.912460069,NA
1226,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Litoria rubella,adults,Naked Treefrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,25.57189255,NA
1227,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Limnodynastes ornatus,adults,Ornate Burrowing-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,11.32751876,NA
1228,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Limnodynastes tasmaniensis,adults,Spotted Marshfrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,11.32751876,NA
1229,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Uperoleia lithomoda,adults,Stonemason Gungan,ectotherm vertebrate,NA,0.025,NA,NA,NA,NA,76.07075148,NA
1230,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Uperoleia mimula,adults,Torres Gungan,ectotherm vertebrate,NA,0.02,NA,NA,NA,NA,156.7494944,NA
1231,"Dell, unpublished",published account,g,m,Tropidonophis mairii,adults,Keelback snake,ectotherm vertebrate,predacious,NA,0.5,1,NA,NA,NA,Bufo marinus,adults,Cane Toad,ectotherm vertebrate,0.05,0.06,0.1,NA,NA,NA,4.459983822,NA
1232,"Dell, unpublished",published account,g,m,Oxyuranus scutellatus,adults,Coastal Taipan,ectotherm vertebrate,predacious,NA,2,4,NA,NA,NA,Isoodon macrourus,adults,Northern Brown Bandicoot,endotherm vertebrate,0.3,0.35,0.4,NA,NA,NA,4.460766455,NA
1233,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Carlia jarnoldae,adults,Lined Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,376.7347583,NA
1234,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Carlia munda,adults,Shaded-litter Rainbow-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,376.7347583,NA
1235,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Carlia pectoralis,adults,Open-litter Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,193.7509552,NA
1236,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Carlia schmeltzii,adults,Robust Rainbow-skink,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,193.7509552,NA
1237,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Cryptoblepharus plagiocephalus,adults,Callose-palmed Shinning-skink,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,265.2168875,NA
1238,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Cryptoblepharus virgatus,adults,Cream-striped Shinning-skink,ectotherm vertebrate,NA,0.04,NA,NA,NA,NA,376.7347583,NA
1239,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Ctenotus taeniolatus,adults,Copper-tailed Skink ,ectotherm vertebrate,NA,0.08,NA,NA,NA,NA,47.74922244,NA
1240,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Morethia taeniopleura,adults,North-eastern Firetail Skink ,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,560.8564167,NA
1241,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Cyclorana brevipes,adults,Superb Collared-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,91.88516022,NA
1242,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Cyclorana novaehollandiae,adults,Eastern Snapping-frog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,6.912798877,NA
1243,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria alboguttata,adults,Greenstripe Frog,ectotherm vertebrate,NA,0.065,NA,NA,NA,NA,27.91352257,NA
1244,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria caerulea,adults,Green Treefrog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,6.912798877,NA
1245,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria fallax,adults,Eastern Sedgefrog ,ectotherm vertebrate,NA,0.025,NA,NA,NA,NA,617.0612768,NA
1246,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria gracilenta,adults,Gracefull Treefrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,91.88516022,NA
1247,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria inermis,adults,Bumpy Rocketfrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,207.430903,NA
1248,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria lesueuri,adults,Stony-creek frog,ectotherm vertebrate,NA,0.07,NA,NA,NA,NA,21.95514309,NA
1249,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria nasuta,adults,Striped Rocketfrog,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,65.31171795,NA
1250,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria rothi,adults,Red-eyed Treefrog,ectotherm vertebrate,NA,0.055,NA,NA,NA,NA,47.95995949,NA
1251,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Litoria rubella,adults,Naked Treefrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,207.430903,NA
1252,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Limnodynastes ornatus,adults,Ornate Burrowing-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,91.88516022,NA
1253,"Dell, unpublished",published account,g,m,Demansia vestigiata,adults,Black Whip snake,ectotherm vertebrate,predacious,NA,1,NA,NA,NA,NA,Limnodynastes tasmaniensis,adults,Spotted Marshfrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,91.88516022,NA
1254,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Cyclorana brevipes,adults,Superb Collared-frog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,253.8353157,NA
1255,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Cyclorana novaehollandiae,adults,Eastern Snapping-frog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,19.09679954,NA
1256,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria alboguttata,adults,Greenstripe Frog,ectotherm vertebrate,NA,0.065,NA,NA,NA,NA,77.11188397,NA
1257,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria caerulea,adults,Green Treefrog,ectotherm vertebrate,NA,0.1,NA,NA,NA,NA,19.09679954,NA
1258,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria fallax,adults,Eastern Sedgefrog ,ectotherm vertebrate,NA,0.025,NA,NA,NA,NA,1704.648973,NA
1259,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria gracilenta,adults,Gracefull Treefrog,ectotherm vertebrate,NA,0.045,NA,NA,NA,NA,253.8353157,NA
1260,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria inermis,adults,Bumpy Rocketfrog,ectotherm vertebrate,NA,0.035,NA,NA,NA,NA,573.03365,NA
1261,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria lesueuri,adults,Stony-creek frog,ectotherm vertebrate,NA,0.07,NA,NA,NA,NA,60.65169462,NA
1262,"Dell, unpublished",published account,g,m,Boiga irregularis,adults,Brown Tree Snake,ectotherm vertebrate,predacious,NA,1.4,2,NA,NA,NA,Litoria nasuta,adults,Striped Rocketfrog,ectotherm vertebrate,NA,0.05,NA,NA,NA,NA,180.4254409,NA
